semester,occupancy-student,occupancy-permanent-academic-staff ,temp-acaemic,executive-non-academic,other-non-academic ,no-of-degree-programs ,no-of-departments,total 
2,1000,20,16,1,8,3,3,25331.2779
2,1000,20,16,1,24,3,3,26040.1974
2,1000,20,16,2,8,3,3,25432.6332
2,1000,20,16,2,24,3,3,26141.5527
2,1000,20,16,3,8,3,3,25528.5404
2,1000,20,16,3,24,3,3,26237.4599
2,1000,20,16,4,8,3,3,25616.1787
2,1000,20,16,4,24,3,3,26325.0982
2,1000,20,24,1,8,3,4,25872.5853
2,1000,20,24,1,24,3,4,26581.5048
2,1000,20,24,2,8,3,4,25973.9406
2,1000,20,24,2,24,3,4,26682.8601
2,1000,20,24,3,8,3,4,26069.8478
2,1000,20,24,3,24,3,4,26778.7673
2,1000,20,24,4,8,3,4,26157.4861
2,1000,20,24,4,24,3,4,26866.4056
2,1000,20,32,1,8,3,5,26332.9667
2,1000,20,32,1,24,3,5,27041.8862
2,1000,20,32,2,8,3,5,26434.322
2,1000,20,32,2,24,3,5,27143.2415
2,1000,20,32,3,8,3,5,26530.2292
2,1000,20,32,3,24,3,5,27239.1487
2,1000,20,32,4,8,3,5,26617.8675
2,1000,20,32,4,24,3,5,27326.787
2,1000,20,40,1,8,3,6,26644.8003
2,1000,20,40,1,24,3,6,27353.7198
2,1000,20,40,2,8,3,6,26746.1556
2,1000,20,40,2,24,3,6,27455.0751
2,1000,20,40,3,8,3,6,26842.0628
2,1000,20,40,3,24,3,6,27550.9823
2,1000,20,40,4,8,3,6,26929.7011
2,1000,20,40,4,24,3,6,27638.6206
2,1000,20,49,1,8,3,7,27052.3777
2,1000,20,49,1,24,3,7,27761.2972
2,1000,20,49,2,8,3,7,27153.733
2,1000,20,49,2,24,3,7,27862.6525
2,1000,20,49,3,8,3,7,27249.6402
2,1000,20,49,3,24,3,7,27958.5597
2,1000,20,49,4,8,3,7,27337.2785
2,1000,20,49,4,24,3,7,28046.198
2,1000,20,57,1,8,3,8,27901.9583
2,1000,20,57,1,24,3,8,28610.8778
2,1000,20,57,2,8,3,8,28003.3136
2,1000,20,57,2,24,3,8,28712.2331
2,1000,20,57,3,8,3,8,28099.2208
2,1000,20,57,3,24,3,8,28808.1403
2,1000,20,57,4,8,3,8,28186.8591
2,1000,20,57,4,24,3,8,28895.7786
2,1000,26,16,1,8,3,3,26330.8985
2,1000,26,16,1,24,3,3,27039.818
2,1000,26,16,2,8,3,3,26432.2538
2,1000,26,16,2,24,3,3,27141.1733
2,1000,26,16,3,8,3,3,26528.161
2,1000,26,16,3,24,3,3,27237.0805
2,1000,26,16,4,8,3,3,26615.7993
2,1000,26,16,4,24,3,3,27324.7188
2,1000,26,24,1,8,3,4,26872.2059
2,1000,26,24,1,24,3,4,27581.1254
2,1000,26,24,2,8,3,4,26973.5612
2,1000,26,24,2,24,3,4,27682.4807
2,1000,26,24,3,8,3,4,27069.4684
2,1000,26,24,3,24,3,4,27778.3879
2,1000,26,24,4,8,3,4,27157.1067
2,1000,26,32,1,8,3,5,27332.5873
2,1000,26,32,1,24,3,5,28041.5068
2,1000,26,32,2,8,3,5,27433.9426
2,1000,26,32,2,24,3,5,28142.8621
2,1000,20,32,3,8,3,5,27529.8498
2,1000,20,32,3,24,3,5,28238.7693
2,1000,20,32,4,8,3,5,27617.4881
2,1000,26,40,1,8,3,6,27644.4209
2,1000,26,40,1,24,3,6,28353.3404
2,1000,26,40,2,8,3,6,27745.7762
2,1000,26,40,2,24,3,6,28454.6957
2,1000,26,40,3,8,3,6,27841.6834
2,1000,26,40,3,24,3,6,28550.6029
2,1000,26,40,4,8,3,6,27929.3217
2,1000,26,49,1,8,3,7,28051.9983
2,1000,26,49,1,24,3,7,28760.9178
2,1000,26,49,2,8,3,7,28153.3536
2,1000,26,49,2,24,3,7,28862.2731
2,1000,26,49,3,8,3,7,28249.2608
2,1000,26,49,3,24,3,7,28958.1803
2,1000,26,49,4,8,3,7,28336.8991
2,1000,26,57,1,8,3,8,28901.5789
2,1000,26,57,1,24,3,8,29610.4984
2,1000,26,57,2,8,3,8,29002.9342
2,1000,26,57,2,24,3,8,29711.8537
2,1000,26,57,3,8,3,8,29098.8414
2,1000,26,57,3,24,3,8,29807.7609
2,1000,26,57,4,8,3,8,29186.4797
2,1000,26,57,4,24,3,8,29895.3992
2,1000,35,16,1,8,3,3,27106.8585
2,1000,35,16,1,24,3,3,27815.778
2,1000,35,16,2,8,3,3,27208.2138
2,1000,35,16,2,24,3,3,27917.1333
2,1000,35,16,3,8,3,3,27304.121
2,1000,35,16,3,24,3,3,28013.0405
2,1000,35,16,4,8,3,3,27391.7593
2,1000,35,24,1,8,3,4,27648.1659
2,1000,35,24,1,24,3,4,28357.0854
2,1000,35,24,2,8,3,4,27749.5212
2,1000,35,24,2,24,3,4,28458.4407
2,1000,35,24,3,8,3,4,27845.4284
2,1000,35,24,3,24,3,4,28554.3479
2,1000,35,24,4,8,3,4,27933.0667
2,1000,35,24,4,24,3,4,28641.9862
2,1000,35,32,1,8,3,5,28108.5473
2,1000,35,32,1,24,3,5,28817.4668
2,1000,35,32,2,8,3,5,28209.9026
2,1000,35,32,2,24,3,5,28918.8221
2,1000,35,32,3,8,3,5,28305.8098
2,1000,35,32,3,24,3,5,29014.7293
2,1000,35,32,4,8,3,5,28393.4481
2,1000,35,32,4,24,3,5,29102.3676
2,1000,35,40,1,8,3,6,28420.3809
